0,adaptability,flexibility,fast paced,adaptable,flexible,dynamic,under pressure,rapidly changing,rapid changing,versatile,,,,,,,,,,,,,,,,,,,,,,,
0,communication,verbal,writing,listening,presentation,oral,storytelling,speaking,presenting,storyteller,presenter,writer,speaker,present,speak,write,listen,communicate,communicating,nonverbal,,,,,,,,,,,,,
0,confidence,confident,self reliant,self assured,composed,composure,poised,,,,,,,,,,,,,,,,,,,,,,,,,,
0,creativity,innovative,creative,innovate,innovator,originality,imaginative,visionary,trailblazer,trendsetter,trend setter,ground breaking,pioneer,design thinking,,,,,,,,,,,,,,,,,,,
0,critical thinking,logical thinking,problem solving,analytical,detail oriented,quantitative,mathematical,attention detail,observant,,,,,,,,,,,,,,,,,,,,,,,,
0,decision making,decisiveness,assertiveness,decisive,assertive,authoritative,respected,,,,,,,,,,,,,,,,,,,,,,,,,,
0,enthusiasm,passionate,enthusiastic,passion,excited,excitement,devote,devoted,energetic,driven,,,,,,,,,,,,,,,,,,,,,,,
0,entrepreneurial,enterprising,ambitious,pioneer,entrepreneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,foreign language,speak foreign,bilingual,multilingual,spanish,chinese,japanese,german,italian,portuguese,dutch,korean,,,,,,,,,,,,,,,,,,,,,
0,integrity,honesty,dependable,dependability,ethical,honest,reliable,reliability,trustworthy,,,,,,,,,,,,,,,,,,,,,,,,
0,interpersonal,networking,humor,intercultural,interaction,social skills,friendly,socialize,socializing,build relations,build relationships,relationship building,humorous,compassionate,courteous,office politics,diplomatic,tolerant,taking criticism,emotional intelligence,receive criticism,take criticism,take feedback,receive feedback,taking feedback,receiving feedback,receiving criticism,accept feedback,accept criticism,resilient,,,
0,leadership,team building,mentoring,mentor,crisis,directing,instructing,teaching,risk management,mitigate risk,strategy,strategic,vision,forward thinking,set goals,goal setting,goal oriented,,,,,,,,,,,,,,,,
0,management,coordination,administrative,planning,scheduling,prioritization,organization,administer,organize,coordinate,planner,schedule,scheduler,administrator,delegate,delegating,budgeting,supervising,coaching,supply chain,manage,supervise,coach,administration,business process,modeling,project planning,business development,develop business,logistics,maintain records,maintaining record,record keeping
0,marketing,social media,advertise,advertising,publicize,customer relations,customer relationships,customer service,public relations,crm,,,,,,,,,,,,,,,,,,,,,,,
0,negotiation,selling,sales,negotiate,negotiating,deal making,conflict,mediate,mediation,,,,,,,,,,,,,,,,,,,,,,,,
0,positivity,optimism,optimistic,positive,inspirational,cheerful,inspiring,motivational,,,,,,,,,,,,,,,,,,,,,,,,,
0,self starter,initiative,self motivated,initiate,work ethic,independent,independently,hard working,determined,diligent,competitive,motivated,,,,,,,,,,,,,,,,,,,,,
0,teamwork,collaborating,team player,team oriented,collaborate,work together,partner,collaboration,,,,,,,,,,,,,,,,,,,,,,,,,
0,time management,time effectively,punctual,scheduling,planning,multitask,multitasking,multi task,multi tasking,set deadlines,make deadlines,prioritize,prioritization,productive,productivity,,,,,,,,,,,,,,,,,,
0,work experience,prior experience,years experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
